#,Title,URL,Type,Relevance
1,Maintenance of Lost Weight and Long-Term Management of Obesity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5764193/,Clinical Practice Guidelines,"Covers the entire weight management lifecycle, including safe loss rates, plateaus, and maintenance."
2,"""Calories in, calories out"" and macronutrient intake...",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5639963/,Scientific Review,"Explains the core science of energy balance with nuance, addressing the ""calories in, calories out"" debate."
3,The Nutrition Source - Diet Reviews,https://www.hsph.harvard.edu/nutritionsource/healthy-weight/diet-reviews/,Authoritative Article Hub,"Provides expert, evidence-based summaries and comparisons of all major diets (Keto, Paleo, etc.)."
4,The Nutrition Source - Protein,https://www.hsph.harvard.edu/nutritionsource/what-should-you-eat/protein/,Authoritative Article,"Explains the importance of protein for health, satiety, and weight management in a public-facing format."
5,"Physical Activity Guidelines for Americans, 2nd edition",https://health.gov/sites/default/files/2019-09/Physical_Activity_Guidelines_2nd_edition.pdf,Official Gov't Guidelines,"The definitive U.S. source on exercise recommendations, answering the ""how much exercise"" question."
6,The Role of Exercise and Physical Activity in Weight Loss and Maintenance,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3925973/,Scientific Review,Explains the mechanisms of how exercise contributes to weight loss and its crucial role in maintenance.
7,Psychological and behavioral correlates of weight loss and maintenance,https://onlinelibrary.wiley.com/doi/full/10.1002/oby.22685,Systematic Review,"Analyzes the specific psychological skills (e.g., motivation, coping) proven to lead to long-term success."
8,"Clinical Guidelines on the Identification, Evaluation, and Treatment of Overweight and Obesity in Adults",https://www.nhlbi.nih.gov/files/docs/guidelines/ob_gdlns.pdf,Official NIH Guidelines,"The foundational U.S. clinical guidelines covering all aspects of obesity treatment, from assessment to behavior."
9,Short sleep duration and weight gain: a systematic review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2723045/,Systematic Review,"Details the powerful link between sleep and weight, including the disruptive hormonal pathways."
10,Effectiveness of diet and physical activity interventions for ethnic minority groups,https://pubmed.ncbi.nlm.nih.gov/37299488/,Systematic Review & Meta-Analysis,Analyzes what makes weight management interventions effective across a wide range of minority populations.
11,Physiological adaptations to weight loss and factors favouring weight regain,https://pubmed.ncbi.nlm.nih.gov/25896063/,Scientific Review,"Explains the biological reasons for the weight loss plateau, including metabolic, hormonal, and brain adaptations."
12,Is a calorie a calorie? The role of diet composition in satiety,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6003347/,Scientific Review,"Explains why food quality is as important as quantity, focusing on how different foods affect hunger."